"axis_id","group_name","group_name_zh","brand","switch_name","axis_range_max","magnetic_flux","axis_color","image_url","detail_axis_id","axis_coefficient"
"272","GATERON","佳达隆","GATERON","麒麟轴","3440","410","","#","4352","19100"
"288","GATERON","佳达隆","GATERON","玉刃轴","3475","450","","#","4608","22200"
"287","GATERON","佳达隆","GATERON","翠玉轴","3355","418","#4bff09","#","4592","22200"
"285","GATERON","佳达隆","GATERON","粉玉轴","3355","415","#f85ed9","#","4560","21300"
"284","GATERON","佳达隆","GATERON","粉磁玉轴Pro","3415","430","#f4bdff","#","4544","23000"
"283","GATERON","佳达隆","GATERON","悟静轴","3615","475","#f1f888","#","4528","16800"
"282","GATERON","佳达隆","GATERON","磁绿轴","3895","505","#75ff30","#","4512","17200"
"281","GATERON","佳达隆","GATERON","磁橙轴","3935","510","#ffc527","#","4496","19700"
"280","GATERON","佳达隆","GATERON","磁黑轴","3400","440","#c1bfbf","#","4480","17600"
"279","GATERON","佳达隆","GATERON","磁黄轴","3970","535","#fff06f","#","4464","15300"
"277","GATERON","佳达隆","GATERON","双轨磁橙轴","4005","412","#fccb68","#","4432","15200"
"276","GATERON","佳达隆","GATERON","双轨磁白轴","4015","495","#fff3f3","#","4416","13300"
"275","GATERON","佳达隆","GATERON","玄武轴(全润)","3365","455","#4dfb32","#","4400","20800"
"274","GATERON","佳达隆","GATERON","灰玉轴Pro","3385","435","#e9fcc9","#","4384","23300"
"273","GATERON","佳达隆","GATERON","樱花轴","3390","458","#f4abff","#","4368","22000"
"257","GATERON","佳达隆","GATERON","磁玉轴","3430","451","#dbfdcd","#","4112","22800"
"271","GATERON","佳达隆","GATERON","封底雪刀轴","3430","458","#d9d9d9","#","4336","22250"
"270","GATERON","佳达隆","GATERON","金龙轴","3340","445","#fcca74","#","4320","21600"
"269","GATERON","佳达隆","GATERON","星轨磁轴","3945","395","#0099ff","#","4304","15000"
"268","GATERON","佳达隆","GATERON","赤龙轴(自润)","3380","442","#ff4141","#","4288","20044"
"267","GATERON","佳达隆","GATERON","紫龙轴","3335","450","#8174f8","#","4272","20300"
"265","GATERON","佳达隆","GATERON","磁玉Pom","3300","480","#defccb","#","4240","20480"
"266","GATERON","佳达隆","GATERON","花火轴","3150","378","#ffa70e","#","4256","26800"
"264","GATERON","佳达隆","GATERON","磁玉Max","3410","471","#f9e892","#","4224","19500"
"263","GATERON","佳达隆","GATERON","阿波罗轴","3130","403","#ffe919","#","4208","24500"
"262","GATERON","佳达隆","GATERON","绿龙轴","3300","467","#a8ff47","#","4192","21300"
"261","GATERON","佳达隆","GATERON","玉京子轴","3420","461","#ff3f3f","#","4176","20350"
"260","GATERON","佳达隆","GATERON","磁玉Air","3430","477","#f0f6bb","#","4160","19600"
"259","GATERON","佳达隆","GATERON","磁玉Gaming","3400","470","#69ff51","#","4144","19000"
"258","GATERON","佳达隆","GATERON","磁玉Pro","3300","458","#adfb8c","#","4128","20000"
"522","TTC","正牌科电","TTC","天王轴","3460","482","#60daff","#","8352","20900"
"531","TTC","正牌科电","TTC","科泰轴","3420","455","#f2bc05","#","8496","16672"
"530","TTC","正牌科电","TTC","太阿磁轴","3470","456","#ffb93f","#","8480","19700"
"529","TTC","正牌科电","TTC","精灵王轴","3470","501","#6cfff6","#","8464","19500"
"528","TTC","正牌科电","TTC","龙神轴","3470","466","#9131fd","#","8448","19100"
"527","TTC","正牌科电","TTC","凌雪轴","3510","471","#28f0ff","#","8432","20000"
"526","TTC","正牌科电","TTC","兵王轴Pro","3440","453","#ffdf5d","#","8416","21000"
"525","TTC","正牌科电","TTC","兵王轴","3480","484","#af7c05","#","8400","20500"
"524","TTC","正牌科电","TTC","天王SE","3440","465","#e8fff4","#","8384","18352"
"523","TTC","正牌科电","TTC","天王轴电竞","3300","483","#f9a748","#","8368","20100"
"513","TTC","正牌科电","TTC","万磁王","3300","474","#fb4848","#","8208","20500"
"521","TTC","正牌科电","TTC","太阳神轴","3420","471","#ff8000","#","8336","21000"
